Geo,Year,LtTrkProp
Wasco,2025,0.580547232
Washington,2025,0.473231343
Wheeler,2025,0.730941704
Yamhill,2025,0.552096863
Baker,2030,0.689736581
Benton,2030,0.493586705
Clackamas,2030,0.522505044
Clatsop,2030,0.58463005
Columbia,2030,0.565982926
Coos,2030,0.623564851
Crook,2030,0.671752837
Curry,2030,0.623118325
Deschutes,2030,0.631326214
Douglas,2030,0.604258898
Gilliam,2030,0.676511306
Grant,2030,0.726018482
Harney,2030,0.759838687
Hood River,2030,0.562928412
Jackson,2030,0.561216524
Jefferson,2030,0.641848772
Josephine,2030,0.587997977
Klamath,2030,0.652273239
Lake,2030,0.758757764
Lane,2030,0.52905393
Lincoln,2030,0.572247201
Linn,2030,0.566364311
Malheur,2030,0.631538586
Marion,2030,0.523025527
Morrow,2030,0.621696926
Multnomah,2030,0.422559575
Polk,2030,0.531492831
Sherman,2030,0.62814292
Tillamook,2030,0.629730126
Umatilla,2030,0.5936473
Union,2030,0.670374073
Wallowa,2030,0.728346952
Wasco,2030,0.580547232
Washington,2030,0.473231343
Wheeler,2030,0.730941704
Yamhill,2030,0.552096863
Baker,2035,0.689736581
Benton,2035,0.493586705
Clackamas,2035,0.522505044
Clatsop,2035,0.58463005
Columbia,2035,0.565982926
Coos,2035,0.623564851
Crook,2035,0.671752837
Curry,2035,0.623118325
Deschutes,2035,0.631326214
Douglas,2035,0.604258898
Gilliam,2035,0.676511306
Grant,2035,0.726018482
Harney,2035,0.759838687
Hood River,2035,0.562928412
Jackson,2035,0.561216524
Jefferson,2035,0.641848772
Josephine,2035,0.587997977
Klamath,2035,0.652273239
Lake,2035,0.758757764
Lane,2035,0.52905393
Lincoln,2035,0.572247201
Linn,2035,0.566364311
Malheur,2035,0.631538586
Marion,2035,0.523025527
Morrow,2035,0.621696926
Multnomah,2035,0.422559575
Polk,2035,0.531492831
Sherman,2035,0.62814292
Tillamook,2035,0.629730126
Umatilla,2035,0.5936473
Union,2035,0.670374073
Wallowa,2035,0.728346952
Wasco,2035,0.580547232
Washington,2035,0.473231343
Wheeler,2035,0.730941704
Yamhill,2035,0.552096863
Baker,2040,0.689736581
Benton,2040,0.493586705
Clackamas,2040,0.522505044
Clatsop,2040,0.58463005
Columbia,2040,0.565982926
Coos,2040,0.623564851
Crook,2040,0.671752837
Curry,2040,0.623118325
Deschutes,2040,0.631326214
Douglas,2040,0.604258898
Gilliam,2040,0.676511306
Grant,2040,0.726018482
Harney,2040,0.759838687
Hood River,2040,0.562928412
Jackson,2040,0.561216524
Jefferson,2040,0.641848772
Josephine,2040,0.587997977
Klamath,2040,0.652273239
Lake,2040,0.758757764
Lane,2040,0.52905393
Lincoln,2040,0.572247201
Linn,2040,0.566364311
Malheur,2040,0.631538586
Marion,2040,0.523025527
Morrow,2040,0.621696926
Multnomah,2040,0.422559575
Polk,2040,0.531492831
Sherman,2040,0.62814292
Tillamook,2040,0.629730126
Umatilla,2040,0.5936473
Union,2040,0.670374073
Wallowa,2040,0.728346952
Wasco,2040,0.580547232
Washington,2040,0.473231343
Wheeler,2040,0.730941704
Yamhill,2040,0.552096863
Baker,2045,0.689736581
Benton,2045,0.493586705
Clackamas,2045,0.522505044
Clatsop,2045,0.58463005
Columbia,2045,0.565982926
Coos,2045,0.623564851
Crook,2045,0.671752837
Curry,2045,0.623118325
Deschutes,2045,0.631326214
Douglas,2045,0.604258898
Gilliam,2045,0.676511306
Grant,2045,0.726018482
Harney,2045,0.759838687
Hood River,2045,0.562928412
Jackson,2045,0.561216524
Jefferson,2045,0.641848772
Josephine,2045,0.587997977
Klamath,2045,0.652273239
Lake,2045,0.758757764
Lane,2045,0.52905393
Lincoln,2045,0.572247201
Linn,2045,0.566364311
Malheur,2045,0.631538586
Marion,2045,0.523025527
Morrow,2045,0.621696926
Multnomah,2045,0.422559575
Polk,2045,0.531492831
Sherman,2045,0.62814292
Tillamook,2045,0.629730126
Umatilla,2045,0.5936473
Union,2045,0.670374073
Wallowa,2045,0.728346952
Wasco,2045,0.580547232
Washington,2045,0.473231343
Wheeler,2045,0.730941704
Yamhill,2045,0.552096863
Baker,2050,0.689736581
Benton,2050,0.493586705
Clackamas,2050,0.522505044
Clatsop,2050,0.58463005
Columbia,2050,0.565982926
Coos,2050,0.623564851
Crook,2050,0.671752837
Curry,2050,0.623118325
Deschutes,2050,0.631326214
Douglas,2050,0.604258898
Gilliam,2050,0.676511306
Grant,2050,0.726018482
Harney,2050,0.759838687
Hood River,2050,0.562928412
Jackson,2050,0.561216524
Jefferson,2050,0.641848772
Josephine,2050,0.587997977
Klamath,2050,0.652273239
Lake,2050,0.758757764
Lane,2050,0.52905393
Lincoln,2050,0.572247201
Linn,2050,0.566364311
Malheur,2050,0.631538586
Marion,2050,0.523025527
Morrow,2050,0.621696926
Multnomah,2050,0.422559575
Polk,2050,0.531492831
Sherman,2050,0.62814292
Tillamook,2050,0.629730126
Umatilla,2050,0.5936473
Union,2050,0.670374073
Wallowa,2050,0.728346952
Wasco,2050,0.580547232
Washington,2050,0.473231343
Wheeler,2050,0.730941704
Yamhill,2050,0.552096863
